token;doc_id;tfidf
SIGNIFICANCE;'00001';2.519781
SIGNIFICANCE; '00074';1.259891
SIGNIFICANCE; '00078';0.629945
SIGNIFICANCE; '00121';0.419964
SIGNIFICANCE; '00147';0.503956
SIGNIFICANCE; '00157';0.839927
SIGNIFICANCE; '00179';0.419964
SIGNIFICANCE; '00185';0.503956
SIGNIFICANCE; '00195';0.839927
SIGNIFICANCE; '00205';0.209982
SIGNIFICANCE; '00223';0.503956
SIGNIFICANCE; '00258';0.229071
SIGNIFICANCE; '00319';0.503956
SIGNIFICANCE; '00355';0.503956
SIGNIFICANCE; '00402';0.839927
SIGNIFICANCE; '00411';0.251978
SIGNIFICANCE; '00412';0.839927
SIGNIFICANCE; '00485';0.839927
SIGNIFICANCE; '00526';0.359969
SIGNIFICANCE; '00555';0.503956
SIGNIFICANCE; '00593';0.503956
SIGNIFICANCE; '00631';0.419964
SIGNIFICANCE; '00809';0.839927
SIGNIFICANCE; '00858';0.251978
SIGNIFICANCE; '00923';0.629945
SIGNIFICANCE; '01151';0.359969
PSEUDOMONAS;'00001';2.091878
PSEUDOMONAS; '00001';0.836751
PSEUDOMONAS; '00007';0.232431
PSEUDOMONAS; '00008';0.116215
PSEUDOMONAS; '00018';0.597679
PSEUDOMONAS; '00061';0.836751
PSEUDOMONAS; '00062';0.950854
PSEUDOMONAS; '00079';0.697293
PSEUDOMONAS; '00080';0.697293
PSEUDOMONAS; '00081';1.394585
PSEUDOMONAS; '00082';2.091878
PSEUDOMONAS; '00123';1.045939
PSEUDOMONAS; '00135';0.522969
PSEUDOMONAS; '00148';0.697293
PSEUDOMONAS; '00152';0.522969
PSEUDOMONAS; '00159';0.418376
PSEUDOMONAS; '00160';0.418376
PSEUDOMONAS; '00161';0.418376
PSEUDOMONAS; '00176';0.522969
PSEUDOMONAS; '00177';0.522969
PSEUDOMONAS; '00178';0.348646
PSEUDOMONAS; '00188';0.836751
PSEUDOMONAS; '00200';1.394585
PSEUDOMONAS; '00250';0.298840
PSEUDOMONAS; '00260';0.190171
PSEUDOMONAS; '00265';0.697293
PSEUDOMONAS; '00271';0.418376
PSEUDOMONAS; '00282';2.091878
PSEUDOMONAS; '00384';1.045939
PSEUDOMONAS; '00394';0.697293
PSEUDOMONAS; '00427';1.394585
PSEUDOMONAS; '00447';0.348646
PSEUDOMONAS; '00458';0.348646
PSEUDOMONAS; '00459';0.697293
PSEUDOMONAS; '00460';0.522969
PSEUDOMONAS; '00469';0.261485
PSEUDOMONAS; '00479';0.522969
PSEUDOMONAS; '00505';0.418376
PSEUDOMONAS; '00550';0.464862
PSEUDOMONAS; '00556';2.091878
PSEUDOMONAS; '00590';1.394585
PSEUDOMONAS; '00611';0.298840
PSEUDOMONAS; '00668';0.697293
PSEUDOMONAS; '00696';0.348646
PSEUDOMONAS; '00753';1.045939
PSEUDOMONAS; '00778';1.830393
PSEUDOMONAS; '00800';0.697293
PSEUDOMONAS; '00802';0.697293
PSEUDOMONAS; '00842';0.522969
PSEUDOMONAS; '00865';0.348646
PSEUDOMONAS; '00884';0.418376
PSEUDOMONAS; '00890';0.836751
PSEUDOMONAS; '00905';2.091878
PSEUDOMONAS; '00912';0.597679
PSEUDOMONAS; '00913';0.522969
PSEUDOMONAS; '00922';0.522969
PSEUDOMONAS; '00987';0.298840
PSEUDOMONAS; '00989';0.190171
PSEUDOMONAS; '01000';0.232431
PSEUDOMONAS; '01010';0.697293
PSEUDOMONAS; '01042';0.836751
PSEUDOMONAS; '01065';2.091878
PSEUDOMONAS; '01071';2.091878
PSEUDOMONAS; '01077';0.836751
PSEUDOMONAS; '01086';0.418376
PSEUDOMONAS; '01090';0.522969
PSEUDOMONAS; '01091';2.091878
PSEUDOMONAS; '01112';0.232431
PSEUDOMONAS; '01171';0.209188
PSEUDOMONAS; '01180';0.522969
PSEUDOMONAS; '01192';1.045939
PSEUDOMONAS; '01203';0.597679
PSEUDOMONAS; '01227';0.348646
AERUGINOSA;'00001';2.086126
AERUGINOSA; '00001';0.834450
AERUGINOSA; '00006';1.788108
AERUGINOSA; '00007';1.390750
AERUGINOSA; '00008';0.579479
AERUGINOSA; '00018';0.596036
AERUGINOSA; '00062';0.189648
AERUGINOSA; '00079';0.695375
AERUGINOSA; '00080';1.390750
AERUGINOSA; '00081';0.347688
AERUGINOSA; '00110';1.043063
AERUGINOSA; '00123';0.695375
AERUGINOSA; '00135';0.521531
AERUGINOSA; '00148';0.695375
AERUGINOSA; '00159';1.251675
AERUGINOSA; '00160';0.417225
AERUGINOSA; '00161';1.251675
AERUGINOSA; '00176';0.521531
AERUGINOSA; '00177';0.521531
AERUGINOSA; '00178';1.738438
AERUGINOSA; '00200';0.695375
AERUGINOSA; '00250';0.298018
AERUGINOSA; '00260';0.758591
AERUGINOSA; '00265';1.390750
AERUGINOSA; '00271';0.417225
AERUGINOSA; '00282';1.043063
AERUGINOSA; '00346';0.521531
AERUGINOSA; '00394';0.695375
AERUGINOSA; '00447';1.738438
AERUGINOSA; '00451';0.625838
AERUGINOSA; '00458';1.043063
AERUGINOSA; '00459';0.695375
AERUGINOSA; '00460';2.086126
AERUGINOSA; '00469';2.086126
AERUGINOSA; '00479';1.043063
AERUGINOSA; '00505';0.417225
AERUGINOSA; '00550';0.231792
AERUGINOSA; '00588';2.086126
AERUGINOSA; '00589';1.251675
AERUGINOSA; '00590';1.390750
AERUGINOSA; '00591';0.834450
AERUGINOSA; '00611';0.298018
AERUGINOSA; '00668';1.390750
AERUGINOSA; '00696';0.347688
AERUGINOSA; '00753';1.564594
AERUGINOSA; '00778';1.825360
AERUGINOSA; '00790';2.086126
AERUGINOSA; '00800';0.463583
AERUGINOSA; '00802';0.695375
AERUGINOSA; '00842';0.521531
AERUGINOSA; '00874';0.695375
AERUGINOSA; '00884';1.251675
AERUGINOSA; '00890';2.086126
AERUGINOSA; '00905';0.347688
AERUGINOSA; '00912';2.086126
AERUGINOSA; '00917';0.894054
AERUGINOSA; '00922';1.564594
AERUGINOSA; '00945';1.390750
AERUGINOSA; '00983';1.303828
AERUGINOSA; '00987';0.894054
AERUGINOSA; '00988';0.625838
AERUGINOSA; '00989';0.948239
AERUGINOSA; '01000';0.231792
AERUGINOSA; '01065';0.521531
AERUGINOSA; '01071';0.695375
AERUGINOSA; '01077';0.417225
AERUGINOSA; '01078';0.695375
AERUGINOSA; '01086';1.668900
AERUGINOSA; '01091';1.390750
AERUGINOSA; '01112';0.695375
AERUGINOSA; '01171';0.625838
AERUGINOSA; '01173';1.192072
AERUGINOSA; '01203';0.298018
AERUGINOSA; '01227';0.347688
INFECTION;'00001';2.012697
INFECTION; '00001';0.805079
INFECTION; '00006';0.862584
INFECTION; '00018';0.287528
INFECTION; '00057';1.006348
INFECTION; '00058';0.182972
