QueryNumber;Ranking;Doc;Similarity
00001;1;'00568';0.8009762725338418
00001;2;'00392';0.7881197565944333
00001;3;'00533';0.780424180449144
00001;4;'00437';0.7501871498602856
00001;5;'00189';0.7431884158054881
00001;6;'00502';0.7397495255645877
00001;7;'00441';0.7383730969640446
00001;8;'00311';0.721339210126974
00001;9;'00950';0.7165595595639696
00001;10;'00754';0.7015173357629079
00001;11;'00957';0.694869009868083
00001;12;'00430';0.675884579282668
00001;13;'00856';0.6727563055979934
00001;14;'00302';0.6677374035345347
00001;15;'00451';0.6676685530348755
00001;16;'00011';0.663450034824673
00001;17;'00052';0.6519908060599107
00001;18;'00499';0.6515113811072387
00001;19;'00147';0.6498780581820084
00001;20;'00960';0.6427137505256151
00001;21;'01093';0.6416540623698113
00001;22;'00538';0.6414834186136361
00001;23;'00523';0.6414833990822567
00001;24;'01180';0.6414156030962184
00001;25;'00734';0.6376258589013312
00001;26;'00246';0.6375575547244744
00001;27;'01107';0.6375575547244744
00001;28;'01168';0.6375048826590354
00001;29;'00912';0.6375048298452939
00001;30;'00496';0.6366434958582278
00001;31;'00543';0.6345946128662758
00001;32;'00962';0.6345944671909471
00001;33;'00914';0.6298845023495286
00001;34;'00265';0.6255993012865956
00001;35;'00503';0.6218867382784602
00001;36;'00067';0.6215589895298219
00001;37;'00693';0.6204892148611914
00001;38;'00767';0.6192207913231137
00001;39;'01066';0.6192207913231137
00001;40;'00532';0.6190648643897008
00001;41;'00676';0.6190410782541239
00001;42;'01224';0.6165177855382634
00001;43;'00085';0.6152715826576003
00001;44;'00043';0.6151511756127979
00001;45;'00497';0.61475829156248
00001;46;'01042';0.6147582249430898
00001;47;'00753';0.6145915541798215
00001;48;'00208';0.6140970313495397
00001;49;'00398';0.6139581420634382
00001;50;'00738';0.6120381216883422
00001;51;'01016';0.6056582588440658
00001;52;'01091';0.6056581522154214
00001;53;'00758';0.6056581342055098
00001;54;'01163';0.6056581342055098
00001;55;'01159';0.6056579209479085
00001;56;'00501';0.6050309304453675
00001;57;'01076';0.6036812294054337
00001;58;'00875';0.6030788497915288
00001;59;'00137';0.6010480959479472
00001;60;'00867';0.6007863904289128
00001;61;'00527';0.5970969096988025
00001;62;'00999';0.594536449178043
00001;63;'00439';0.5940656139291088
00001;64;'00139';0.5935134392664113
00001;65;'00982';0.5860278256953985
00001;66;'00314';0.5835189305764604
00001;67;'00505';0.5834314820535184
00001;68;'01199';0.5757697746632141
00001;69;'00730';0.5739894144450826
00001;70;'01167';0.5728021534540095
00001;71;'00520';0.5719639586207298
00001;72;'00508';0.5715050014850456
00001;73;'00963';0.5715049542827052
00001;74;'00969';0.5685613590446152
00001;75;'01203';0.5649801201948427
00001;76;'01120';0.5616957574720804
00001;77;'00742';0.5614198451309876
00001;78;'01188';0.5599824638480575
00001;79;'00552';0.5492094479126592
00001;80;'01201';0.5455013082394055
00001;81;'00027';0.5454051744304229
00001;82;'00151';0.5386862740754517
00001;83;'00564';0.5345212979484188
00001;84;'00218';0.534512442903085
00001;85;'00852';0.534512442903085
00001;86;'00989';0.5344995877138471
00001;87;'00901';0.5344333570285368
00001;88;'01173';0.5344333570285368
00001;89;'01005';0.5343076680899913
00001;90;'01135';0.5341292386764489
00001;91;'00185';0.5341292328217875
00001;92;'00850';0.5338913189146117
00001;93;'01026';0.5338913068898165
00001;94;'00648';0.5337814112164253
00001;95;'00597';0.5337814010596761
00001;96;'00063';0.5337814004944893
00001;97;'00489';0.5337814004944893
00001;98;'01181';0.5337814004944893
00001;99;'00471';0.5337813987989249
00001;100;'00899';0.5337813987989249
00001;101;'00166';0.5336670486747733
00001;102;'00710';0.5336670258976604
00001;103;'00936';0.5336026436993646
00001;104;'01205';0.5336026371092082
00001;105;'00964';0.533112950886202
00001;106;'00765';0.5328977510103536
00001;107;'00263';0.5327624504620568
00001;108;'01102';0.5327624271739859
00001;109;'00555';0.5327624236699504
00001;110;'00411';0.5326901652028125
00001;111;'00510';0.5324486804668432
00001;112;'00205';0.5323311850693804
00001;113;'00323';0.5322661081260277
00001;114;'00506';0.5322661081260277
00001;115;'00747';0.5322661081260277
00001;116;'00836';0.5322661081260277
00001;117;'00981';0.5322661081260277
00001;118;'00698';0.5322660818628936
00001;119;'00061';0.5322660765296019
00001;120;'00106';0.5322660765296019
00001;121;'01043';0.5322660765296019
00001;122;'01220';0.5322660765296019
00001;123;'00090';0.5322660633979612
00001;124;'00107';0.5322660633979612
00001;125;'00308';0.5322660633979612
00001;126;'00389';0.5322660633979612
00001;127;'00651';0.5322660633979612
00001;128;'00970';0.5322660633979612
00001;129;'00359';0.5322660240028606
00001;130;'00575';0.5322659924058258
00001;131;'01145';0.5322259315752718
00001;132;'00453';0.5316666683504206
00001;133;'00201';0.5316665603601575
00001;134;'01166';0.53166655403067
00001;135;'00810';0.5316665519822604
00001;136;'00878';0.5316665458370189
00001;137;'00144';0.5315971209171803
00001;138;'00722';0.5315971209171803
00001;139;'00150';0.5315970943294925
00001;140;'00606';0.5311027473647577
00001;141;'00526';0.5301339145798946
00001;142;'00805';0.5289903224459797
00001;143;'00436';0.5286971714507306
00001;144;'00731';0.5286971714507306
00001;145;'00986';0.5286971714507306
00001;146;'01210';0.5286971714507306
00001;147;'00269';0.5286971714507305
00001;148;'00454';0.5286971714507305
00001;149;'00858';0.5286971073065015
00001;150;'00320';0.5286971000886403
00001;151;'00394';0.5286971000886403
00001;152;'00455';0.5286971000886403
00001;153;'00466';0.5286971000886403
00001;154;'00562';0.5286971000886403
00001;155;'00602';0.5286971000886403
00001;156;'00614';0.5286971000886403
00001;157;'00926';0.5286971000886403
00001;158;'01040';0.5286971000886403
00001;159;'01106';0.5286971000886403
00001;160;'01206';0.5286971000886403
00001;161;'00059';0.5286970763011847
00001;162;'00536';0.5286970763011847
00001;163;'00815';0.5286970763011847
00001;164;'01050';0.5286970763011847
00001;165;'00684';0.5286970644074396
00001;166;'00965';0.5286970644074396
00001;167;'01117';0.5286970644074396
00001;168;'01161';0.5286970644074396
00001;169;'01169';0.5286970644074396
00001;170;'01125';0.5286970439110958
